timestamp,post
4mo,"Will you shape the future of AI, or will it shape you?
 
We analyzed the latest trends to identify four possible futures for how AI could change the working world by 2030.

This week at
attendees shared what future they are preparing for.

Here's what you need to know 👉"
4mo,"Why your next brand ambassador might be your fridge. 5G’s second wave. And what is a data lake and how can you use it correctly?

All in this week’s Must Reads..."
4mo,"How do you insure cyber risk?

With cyber attacks on the rise, how do organizations protect themselves and their customers?

Read more from our Global Insurance Outlook ⬇️"
4mo,"Wrapping up 
hashtag
#SXSW, one thing is clear: AI is bridging the gap between human creativity and machine efficiency by offering tailored solutions and experiences that cater to individual customer needs and preferences. 

Learn how we're helping our clients forge deeper, more meaningful connections with their customers to drive long-term brand loyalty."
2mo,"🔑 How can today's CEOs turn uncertainty into opportunity?

📊 42% of leaders are looking at cost management strategies to mitigate the impact of increased tariffs.

Uncover more insights in the latest EY-Parthenon CEO Outlook survey."
4mo,"Congratulations to John Chamoun, the winner of the 2025 EY Young Tax Professional of the Year Global Competition!

🧑‍🤝‍🧑 38 global finalists
🌍 61 countries and regions
🏆 1 global winner

We can’t wait to see what the future holds for all the finalists."
4mo,"Crypto ownership skyrockets. The AI honeymoon phase is over. And what role will Gen Z play in shaping the next decade of tech? 

All in this week’s Must Reads..."
2mo,"From rapid technological advancements to fluctuations in the global economy, today’s market is in a state of perpetual evolution. Our Vice Chair of Finance and Operations Bill Strait outlines what CFOs need to focus on right now."
5mo,Tech companies have the opportunity to translate the excitement and expectations around AI into tangible business benefits. Here's how: https://go.ey.com/4kp8n5N
5mo,"AI’s influence on pharma. Bonuses are tied to sustainability goals. And how healthcare organizations can stay ahead of data breaches. 

All in this week’s Must Reads..."
5mo,"The talent, dedication and leadership of our Black Professional Network members play a vital role in shaping the future for our workplace and our communities each and every day. 
hashtag
#BlackHistoryMonth."
3mo,"EY.ai for tax, built with IBM watsonx®, enables workflow automation and unlocks data-driven insights to help tax leaders and teams focus on strategic work.

Find out more here 👉"
3mo,"How can organizations maximize value in their cyber investments? 
hashtag
#RSAC

https://go.ey.com/3RF4fBt"
5mo,"With AI adoption accelerating at breakneck speed, will the race to build and power new data centers intensify in 2025?

Our 2025 Geostrategic Outlook highlights how shifting government policy will impact the energy transition as nations vie for grid capacity and renewables to fuel AI demand.

The real question: who has the power to run the AI future?

Access the full report here:"
3mo,"Would you trust technology with your mental health?
 
The latest EY Global Consumer Health Study shows how digital tools could strengthen mental health services by improving access to preventative care:"
5mo,"The EY Entrepreneur Ecosystem Barometer shows that entrepreneurs are primed to pursue growth, even in an uncertain economy. 

Here's how. 👉"
5mo,"With smart home consumers weighing concerns over data security, cost and connectivity, providers are doubling down on differentiating themselves and building trust with customers. https://go.ey.com/40ZCEyW"
5mo,"Love at first transformation. Falling for GenAI. And a match made in finance. 
 
All in this week’s Must Reads..."
3mo,"More than 70% of legal departments are facing significant challenges:

- Geopolitical issues 
- Changing regulations
- Implementing new technology like


All you need to know is in the 2025 EY Law General Counsel Study:"
6mo,"Whether you’re planning to go public or keeping a close eye on the IPO market, our quarterly trends report is essential reading: https://go.ey.com/3CqsvmZ"
3mo,"Rob Holston, EY Global and Americas Consumer Products Leader, joins Strategy and Transactions leaders Ashley Costa and Don Johnson to share their takeaways from CAGNY 2025."
3mo,"If the world’s largest 500 family owned businesses were a national economy, they would be the third largest by revenue, behind the US and China.💡

Learn how important these businesses are to the global economy. 👇"
3mo,"In the world of sports, confidence and commitment provide the winning edge. More than just a mindset, it’s a dynamic skill set that transforms game changers into legacy makers. https://go.ey.com/4ctYMXP"
3mo,"What's driving consumer spending right now. 

Find out more: https://go.ey.com/3XOJFC2"
6mo,"Big generational shifts mean big changes and challenges ahead for businesses.
 
Today community-focused Gen Z, achievement-orientated Millennials and the independent Gen X are all pulling at and reshaping workplace culture.

By 2034, 80% of the global workforce will be Millennials, Gen Z and Gen Alpha.

But, but, but..."
6mo,"Are you ready to lead a multigenerational team? Why transparency is key to unlocking AI’s potential. And how to close the growing green skills gap before it’s too late. 

Here are five must reads from the EY leaders on the ground at
..."
3mo,"✅ More than 1,500 CPA-track college students 
📚 Over 30 speakers from across the country
📒 Hands-on career workshops 
🤝 Countless connections made
❤️‍🩹 Over 4,000 disaster relief kits donated
🎉 Internship offers celebrated

Your skills. Your experience. Your future.

This is the Future Leaders Summit. 🚀

|"
4mo,"EY EY-Parthenon Macro Pulse

🌷March Employment Report: Spring thaw before the tariff chill via Lydia Boussour

📊The strong 228k payroll gain in March is a reminder that economic fundamentals were robust heading into the tariff storm. Yet, the downside risks to the labor market and consumer outlook have escalated significantly in recent days and underlying economic momentum is poised to decelerate rapidly as the impact of the global economic shock from reciprocal tariffs materializes.

📉 Looking at the broader trend, the labor market is undeniably cooling. Private-sector industries added an average of 152,000 jobs in the first quarter of the year, a notable step down from the 209,000 average in Q4 2024.

🏛️ The government sector made a larger than expected contribution to the overall payroll gain last month, with overall employment up by 19,000. A 4,000 drop in federal government payrolls was more than offset by a 23,000 gain in state and local employment. The ongoing efforts to significantly reduce the federal workforce will likely translate into further declines in federal employment in the coming months.

👥 On the household survey side, the labor market picture was a little more encouraging than in February. While the unemployment rate edged up a tick to 4.2% in March, it was for “good reasons” as more people (particularly 16- to 24-year-old individuals) joined the labor force to look for work. The participation rate rose 0.1ppt to 62.5% after reaching its lowest level since January 2023. Looking ahead though, the sharp decline in immigration flows in recent months and tighter immigration policies will constrain labor supply dynamics.

💸 On the wage front, average hourly earnings saw a moderate 0.3% m/m increase in March but were revised down in the prior month which led to a 0.2ppt decline in wage growth to 3.8% y/y – the slowest pace since July 2024.

📉 Looking ahead, the steep tariff increases and the surge in uncertainty and market volatility will likely result in a more rapid economic downshift than we previously anticipated, with the risk of triggering a “non-linear” labor market response that would tip the economy into a recession. Large cuts to the federal workforce and the cancellations of many government contracts will also be a drag on overall payroll growth in coming months while tighter immigration flows will weigh on labor supply dynamics, further constraining job growth.

🕰️ With inflation risks decidedly tilted to the upside and labor market conditions still generally healthy, Fed policymakers will remain in wait-and-see mode. We expect they will maintain a reactionary stance in the coming month and will want to avoid front-running the impact of tariffs on output and inflation.

Read the full note here"
6mo,"Half of Gen Z are turning to social media for AI upskilling, but a new report shows many overestimate their AI knowledge. 

The challenge for businesses and educators is to train the next generations to use AI effectively without compromising critical thinking and student curiosity.

Read the full report 👇"
6mo,Here's how EY and UiPath worked with a mega health care company to deploy AI and accelerate service for doctors and patients ➡️https://go.ey.com/4g7R4CD
4mo,"I'm not crying. YOU'RE crying. 

It's internship acceptance season. https://go.ey.com/4iWazQS
hashtag
|"
4mo,"Your skills. Your experience. Your future.

Come with us to the Future Leaders Summit! 💫 


|"
6mo,"Global CEO confidence is rising. 
 
Today 3 in 4 CEOs are confident in their companies’ growth prospects over the next 12 months, according to our CEO Outlook Survey.

Here's what they're thinking 👇"
4mo,"By leveraging automation, AI and advanced analytics, tax and finance functions can reduce costs, enhance compliance and drive strategic value across the organization. Here's how: https://go.ey.com/449IJfn"
4mo,"We’re proud to be recognized by Fortune and Great Place To Work  for the 27th consecutive year as one of the 100 Best Companies to Work For. 🎉

Thank you to our people for making EY a great place to work."
6mo,"Managed services are on the rise. Marketing insights from the CMO Summit. And how geopolitics will shape 2025. 

All in this week’s Must Reads..."
4mo,"This week at 
hashtag
#DistribuTECH2025 we’re discussing how the evolution of technology is transforming energy distribution, and why collaboration is critical in building the future. 

Find out more about what you need to know in our 2025 Power & Utilities Outlook:"
1mo,[NEWS] EY US & Bayer win “AI for Good” Award in 2025 AI Breakthrough Awards program. Learn more: https://go.ey.com/44z9klO
6mo,"GenAI is helping businesses create deeper, more authentic connections with customers, enhance satisfaction and drive long-term loyalty. Learn more: https://go.ey.com/40nEef3"
6mo,"GenAI is ushering in the newest consumer revolution, transforming the way individuals interact with technology and redefining the boundaries of innovation. 
hashtag
#CES2025"
4mo,"What's keeping global banking Chief Risk Officers up at night? 

Cybersecurity tops the charts in every region, driven by escalating geopolitical tensions.

Banking CROs will need to find the right mix of technology and talent to address these growing threats.

Read more in the latest EY and IIF Banking Risk Survey:"
4mo,The EY Career Path Accelerator offers an affordable and accessible way to earn the credits you need to become CPA eligible. Learn more 👉 https://go.ey.com/3Dn0tJy
4mo,"How can businesses make EV ownership appealing?

While sales to early adopters have peaked, broader consumer demand is still constrained by affordability concerns.

Switching to an equivalent EV, smart-charging and selling energy back to the grid could reduce the total cost of ownership by 20% for family car drivers.

However, building trust, offering clearer financial incentives, and making it simple are critical to persuade consumers to move away from petrol and diesel.

A new EY & Eurelectric report outlines six ways businesses can engage consumers and convince them to make the switch."
7mo,"🎄 With only hours left of the holiday shopping season, are last minute purchases the most cost effective?

🛍️ 52% of global consumers say they are shopping later in the season, with many holding out for the right deals to stretch budgets.

📥 Read the full report:"
7mo,"GenAI is booming, and Gen Z needs to keep up. Despite being ""digital natives,"" a new report shows many overestimate their AI knowledge. 

Businesses need to upskill Gen Z as fast as their
. Here's why👇"
4mo,Entrepreneurs Council members share how they balance leading a company while cultivating a culture of wellbeing: https://go.ey.com/3FdKCgY
7mo,How CFOs are navigating labor and investment choices for 2025. https://go.ey.com/3ZJfGgf
4mo,"Adapting to change is not just about keeping up, it’s about leading the way. 

Whitt Butler sat down with CBS News to share how we're helping organizations thrive in today's fast-paced business landscape."
7mo,"Populist policies, taxation twists, and a booming space economy. These trends are among the top 10 geopolitical developments every smart CEO needs to navigate in 2025. 

Swipe to explore each trend and stay ahead of the curve.

👉"
5mo,"The consumer products and retail industries must find the right balance in managing the business of today, while pursuing growth for tomorrow. https://go.ey.com/43ovQOj"
5mo,"Entrepreneur Of The Year® nominations are due THIS FRIDAY, March 7th. 

Don’t miss your chance to become part of this vibrant community of visionaries who are transforming industries, impacting the community and shaping the future.

Nominate or apply today!"
5mo,"The tech industry is at a pivotal moment.
 
After years of costly pilots, 
hashtag
#AI must now prove its worth. Leading tech companies are rethinking everything around AI to drive growth and hit their “North Star.”

Discover the tech trends of 2025👇"
7mo,"Nine in ten investors don't want to sacrifice short-term gains for the long-term rewards of investing in sustainability. 

Two-thirds say ESG factors are likely to have less weight in their firm’s future investments.

Despite the fact that 85% of investors now see greenwashing as a greater concern than five years ago, dissatisfied with corporate nonfinancial reporting.

📈 Read the full Institutional Investor Survey here:"
7mo,"Two years post-ChatGPT, GenAI boosts efficiency but misses the big picture. A different take on AI regulations. And what should happen after you buy a car.

All in this week’s Must Reads..."
7mo,"On the ground at 
hashtag
#TheAISummit New York helping businesses understand how they can shape the future of their organizations with confidence through AI-enabled transformations. https://go.ey.com/49v9pIl"
7mo,"Six months after our last AI Pulse Survey, senior leaders tell us they’re continuing to invest in the technology — and getting more return on their investment.

Here's how you can accelerate AI adoption and drive value:"
5mo,"Considering an IPO? Andy Park shares 3 key things to keep in mind. 

https://go.ey.com/3D4y76v"
8mo,How EY worked with Ajinomoto Foods North America on a supply chain transformation to save money and time while getting better results for consumers ➡️ https://go.ey.com/3ZhFjDn
5mo,"Game Changers ➡️ Legacy Makers

Meet Team EY ⛳️
Shaping the future of sports with confidence."
5mo,✨ A week in the life of a manager in EY's People Consulting practice.
5mo,"How is Agentic AI different from GenAI? https://go.ey.com/4gU7wqF

Tommaso explains 👇"
8mo,"What are the finance updates from COP29 and how can the C-suite navigate an evolving geopolitical landscape?

Read the 6 key takeaways 👇"
5mo,"Looking to boost your 
hashtag
#AI skills and take your career to the next level?
 
Join the EY Open Science AI & Data Challenge at: https://go.ey.com/4gVHraV"
8mo,"📊 44% of CFOs struggle with data visibility.

As the role of the CFO levels up, these finance leaders must be ready to steer leading practices in data management."
8mo,"These women generated more than US$2b in revenue in a year. 
 
Meet them 👇"
5mo,"Is the advancement of AI outpacing regulation? 

As countries adopt different approaches to AI regulation, how will this impact safeguarding efforts?

Read more:"
8mo,"Are you shaping a future where business, people and planet will thrive?

All in this week’s Must Reads..."
8mo,"Day 1 at the Strategic Growth Forum® 2024 ✅

🚀 Purpose propels business
💡 AI can empower employees
🌎 Change is an opportunity
🤝 Connections matter

Follow"
8mo,"Meet the 25 finalists representing 36 countries of this year's EY NextGen Women global competition. 🌟

What superpower are they bringing to the final? Swipe to find out.

Cheer them on in the comments. 👏"
1mo,"Missed Cannes Lions International Festival of Creativity this year? 
We got you covered.

We teamed up with our friends atfor a virtual debrief covering everything that went down on the Croisette. From creators and brands to the latest in tech, the week proved what’s possible when creativity and business come together with purpose.

Want to listen to the full debrief?

Watch the event on Linkedin Live here ⬇️"
8mo,"The EY Entrepreneur Ecosystem Barometer shows that entrepreneurs are primed to pursue growth, even in an uncertain economy.

Here’s how ➡️"
6mo,"How is Agentic AI different from GenAI? https://go.ey.com/4gu0qZA

Tommaso explains 👇"
6mo,Cathryn wanted a career where she could channel her positive energy into something meaningful. https://go.ey.com/40ZJmpP
8mo,"We 💛 
hashtag
#EYConnectDay!
 
Thank you to all of our EY people who volunteered their time to give back to our community."
1mo,"Cybersecurity does more than save your business from threats. 
 
It accelerates tech innovation, drives product development, enhances customer experience and improves brand reputation.

Read more:"
6mo,EY teams are rooted in the places where products are made - and we're shaping the future of the industrial manufacturing industry with confidence. https://go.ey.com/40GlpTl
6mo,"📢 Life science innovation is fast increasing in China, but will a US biotech protection bill and US-China trade uncertainties hinder innovation? 

2024 saw the largest ever purchase of China’s Gracell Biotechnologies Inc by Astra Zeneca, signalling more investment to come for China's innovation economy.

Discover how China is moving from life sciences manufacturer to innovator with the EY Life Sciences M&A report."
6mo,"Only 15% of Gen Z feel confident in their current education and training to navigate the AI landscape.

EY andhave launched a free program to help provide the tools and AI skills required for the future.

Learn more and register today:"
6mo,"Happy 
hashtag
#LunarNewYear! Wishing everyone a healthy and prosperous Year of the Snake."
1mo,"[REGISTER NOW] The Senate Finance Committee’s revisions to the reconciliation bill could have significant ramifications for businesses. 

Tune in to learn more."
9mo,"🏥 What's next for AI in healthcare?
 
Here’s how policymakers are approaching AI and what the latest regulatory changes can mean for the industry."
6mo,"In November, we hosted 3,000 promotes in Dallas to celebrate their latest career achievements. Attendees kicked off a year-long learning journey with opportunities to build connections, focus on professional growth and develop future-focused skills.

Come along as Richard takes us behind the scenes for a week in his life at Horizons Live. ✨"
9mo,"2 in 5 employees say they are likely to quit their jobs in the next 12 months for better pay and career opportunities according to the latest EY Work Reimagined Survey. 

We asked 17,350 employees across 1,595 businesses what is driving top talent away?

Read the full report to find out👇"
9mo,"The convenience of electronic health records, patient portals and virtual visits also come with side effects, including an increased exposure to cyber threats.

Here's how EY helped one medical provider navigate those risks:"
9mo,"Public listings are on the up this quarter.

ICYMI, here’s everything you need to know about companies going public in Q3. 👇"
6mo,"From election day to the first 100 days and beyond, EY is here to help businesses navigate the geopolitical and economic landscape with confidence. 
https://go.ey.com/4fXqdt2"
6mo,"Boomers, Gen X, Millennials, Gen Z and Gen Alpha – the workplace just got complicated. Five generations all working together for the first time ever.

Business leaders need to develop a multigenerational strategy so they can shape the future of the workforce with confidence.

Diversity, upskilling and AI will all have a part to play.

Expect this to be a significant talking point for leaders at the WEF Annual Meeting in Davos this year.

Here’s what you need to know 👇

Our generations report in full is here:"
1mo,"One in four leaders in regulated industries are already adopting agentic AI according to the latest survey by EY Studio+ and MIT Technology Review Insights.

AI adoption isn't being slowed by regulation but accelerated by compliance expertise.

With governance already hardwired into operations, companies in financial services, pharma and healthcare are building AI agents fast and responsibly.

Learn how regulated industries are accelerating AI adoption with confidence:"
6mo,"For 40 years, EY has recognized, supported and championed visionary entrepreneurs shaping our future. Become part of this vibrant community of ambitious leaders!

Learn more and apply for the Entrepreneur Of The Year® program by March 7."
9mo,"AI needs energy, Brazil has it. The US election’s effect on businesses. And, what's the first problem you'd tackle in a world where tech knows no bounds?

All in this week’s Must Reads..."
6mo,"Game Changers ➡️ Legacy Makers

Meet Team EY ⛳️
Shaping the future of sports with confidence."
9mo,"Today we announce US$51.2b combined global revenues for the financial year 2024.

Read our Value Realized annual report in full ⬇️"
9mo,"AI has supercharged the scale and complexity of threats — and anxiety about cybersecurity.

More from our latest research:"
6mo,How will private equity enable tech firms to be innovators and disruptors in 2025? More from Tim Tracy and Hyong Kim. https://go.ey.com/40gaS0T
9mo,Are your meetings accessible for everyone? Check out these 3 tips for more inclusive meetings. 👇
9mo,"As the 2024 elections near, it's crucial for business leaders to understand policy differences in areas like trade, technology, and taxes. We break down how those differences can influence future corporate outlook. https://lnkd.in/gZvvemqy"
9mo,"GenAI’s impact on the global economy. What does a financial controller do? And how tax is on the brink of a revolution. 

All in this week’s Must Reads..."
9mo,"Together with our Latinx Professional Network, we’re proud to champion the dynamic Hispanic and Latinx communities this 
hashtag
#HispanicHertiageMonth and all year long."
6mo,"How is AI shaping the future with confidence?

https://go.ey.com/4gQBv3I"
6mo,What are the sectors to watch for M&A in 2025? Mitch Berlin shares the latest. https://go.ey.com/4h19Zjx
6mo,"Will you shape the future or be shaped by it?
 
Business leaders are under increasing pressure to deliver rapid results and long-term growth while tackling some of the most complex challenges of our time.

The only way to predict the future is to create it.

That takes confidence. Confidence to ask the Better Questions and act on the answers.

Confidence to harness the forces of transformation. Together. Allin.

Watch - and tell us where you see the biggest transformation opportunities?"
9mo,"It’s hard to believe: female-founded companies in the UK only receive 2p for every £1 invested. 

The contribution of the UK's leading female-founded companies to the national economy could dwindle without a stronger support for the next wave of women entrepreneurs, according to a new EY report on female SuperScalers.

The EY SuperScalers report, shines a light on a new network of the women behind the 45 female-SuperScaled companies with revenue of more than £50m currently based in the UK. Among the 45 are, founder and CEO of beauty brand,, founder and CEO of,founder and Chair of recruitment specialistand, founder and ex-CEO of investment banking company, formerly finnCap Group.

👉 Swipe to find out about the key factors that have contributed to the success of the female SuperScalers.

Thanks to our collaborators on this report:,and."
