timestamp,post
1w,"Just one year since opening its doors, BCG’s Lisbon Capability Center (LCC) is already home to 100+ team members — and growing. 

From HR and Finance to Talent Acquisition and Admin Support, the LCC is a vibrant hub with real opportunities to build a meaningful career and shape the future of our global operations.

Hear from the people making it happen, and explore how you could be part of what’s next:"
1w,"The world may run short of critical raw materials by 2030.

For the energy transition, this presents a challenge. Research from Boston Consulting Group (BCG)andfound that roughly 40% of the materials needed for the energy transition are facing shortages.

Securing and scaling production of materials are critical to its success, but companies must go beyond procurement. That means understanding interconnected supply chains, diversifying sources, investing in innovation, collaborating across industries, and advocating for enabling policy.

Learn more:"
1w,"AI takes trends and market research and turns into business intelligence. Jessica Apotheker, Chief Marketing Officer at Boston Consulting Group (BCG) joins The Executive Table, to discuss how to infuse AI data into your organization to understand where you have a chance to win and act quickly.

Watch Jessica’s episode and explore more candid conversations on The Executive Table, Bloomberg Media Studios’ new video series spotlighting the leaders redefining the future of business:"
1w,"GLP-1 medications have created a $60–90B pharma market by driving weight loss, reducing A1C levels, and delivering cardiac benefits. 

But their ripple effects on medical devices and technology (MedTech) are complex. Insights from 550+ physicians suggest that some sectors may feel pressure from slowing disease progression, but others (such as bariatric surgery, knee operations, or the treatment of heart disease) may benefit from increased awareness, earlier diagnosis, and expanded eligibility.

Read and download the full report:"
1w,"How do you bring GenAI into your daily workflow?

For Alexander Achba, consultant and BCG GenAI Innovation Award winner, it starts with planning smarter, collaborating better, and creating tools that teams across the firm use every day.

From mentoring colleagues to unlocking new ways of working, Alex shows how AI can accelerate growth and drive meaningful impact."
1w,
1w,Stay informed on the latest tariff insights with a recent article by BCG's Marc Gilbert and his colleagues.
1w,"Complex environments don't halt deals; they inspire innovative approaches.

BCG's Russell Kellner shares valuable insights with PitchBook on how private equity firms are skillfully navigating the impact of tariffs.

Momentum is picking up in the second half of the year, particularly in industrial goods, with companies producing tangible assets like tools, safety gear, and building materials leading the way.

Read the full article here:"
1w,"AI is transforming the way marketing is done. While it brings many exciting opportunities, it also comes with common misconceptions.

ofEnterprises and BCG’shighlight the importance of investing in the right technology and combining it with human expertise to design great customer experiences, craft delightful journeys, and drive real impact."
1w,"How are BCG and Microsoft coming together to reimagine today’s enterprises with AI?

Microsoft'sjoined BCG’sandto break down how combining Microsoft’s first-party products with BCG’s functional and industry expertise is unlocking greater value from businesses’ AI investments."
1w,"AI is reshaping the global tech landscape, opening opportunities for new players.

BCG's Nikolaus S. Lang spoke with Bloomberg Television about how AI ""middle powers"" in Europe and the Middle East are emerging, and why companies must think globally to stay competitive.

Watch the conversation."
2w,"Explore a career in Data at BCG with our new and newly enhanced OneDay@BCG job simulations.

Our new Introduction to Data for Decision Makers module is perfect for beginners, offering a chance to analyze marketing data and practice turning insights into strategic recommendations.

Want to go deeper? Our Data Science module is newly enhanced with smarter datasets, sharper visuals, and a more immersive look at how BCG teams solve complex challenges.

These free virtual modules offer a firsthand look at life in Data at BCG.

Enroll now:"
2w,"The future of leisure travel is being reshaped, not only by where people go but by why and how they travel.

Relaxation remains important, but how people unwind is changing. Cultural exploration, wellness retreats, and spiritual or religious journeys are gaining ground. Solo travel is no longer niche. And AI is transforming how people plan and book.

Explore the findings from BCG’s survey of 5,000 people across 11 countries:"
2w,"Policy shifts could reshape the AI map – but talent, not tariffs, will have the greatest long-term impact. 

While many CEOs are understandably focused on trade policy and the rising cost of data center expansion in the US, changes in immigration policies and public funding for R&D may have a more significant effect on the global AIa new report, theexplore a pressing question that should be on the mind of every leader: where will tomorrow’s AI geniuses go?

Even modest increases in the inflow of AI talent could dramatically accelerate the R&D momentum of the GenAI “middle powers”—nations and regional blocs actively positioning themselves to compete alongside the US and China."
2w,"From wiring to wind turbines, copper is critical to many industries. It is also in short supply.

Read more to understand the impact of the proposed 50% US tariff on copper imports."
2w,"Google. IBM. Samsung. Amazon. Apple. Microsoft. 

These are the “serial innovators” who appeared the most frequently in BCG’s Most Innovative Companies report over the past two decades.

During that time, 178 unique companies earned a spot in the rankings. But just 25 companies appeared ten or more times.

Uncover the patterns behind innovation excellence:"
2w,"Tariffs are becoming an increasingly important factor in shaping MedTech strategy, with BCG analysis suggesting that 10% to 40% of EBIT margin could be impacted. Yet many companies are still in the early stages of building the right capabilities to adapt.

Our latest article explores how MedTech leaders can stay ahead by advancing supply chain visibility, enabling data-driven compliance, and applying design-to-tariff thinking across the value chain.

Read the full report:"
2w,"How can companies deliver real value to customers quickly, and help them scale with confidence?

’sshared his perspective in a recent conversation with BCG’sand"
2w,"From calls to slash red tape to US policy shifts, momentum is moving in Europe’s favor.

Up next, here's how CEOs can reignite Europe’s global competitiveness and set the foundation for enduring innovation and growth."
2w,"For the first time in over a decade (pandemic aside), the personal luxury market is facing a lack of growth.

Ten years ago, the democratization of luxury led to extraordinary growth, with aspirational consumers — those spending less than €5,000 per year on personal and experiential luxury — accounting for nearly 75% of market value. Today, however, they represent just over 60%

BCG andhave partnered to explore what’s behind recent shifts in the sector and what will shape the way forward:"
2w,"As well as decreasing cost, AI can also help telcos identify new growth opportunities.

BCG'sshares how telecom leaders can break out of silos, focus on value creation, and drive the end-to-end transformation needed to stay competitive.

Read the full Q&A here:"
3w,"Global M&A activity in the first half of 2025 remained fairly robust, though it fell short of the strong rebound many analysts had anticipated.

Lingering market volatility and uncertainty, particularly prominent during the second quarter, tempered overall dealmaking.

Although conditions have undeniably grown more challenging in 2025, the long-term drivers of M&A remain in place.

Explore BCG’s Mid-2025 M&A Insights:"
3w,"BCG's Todd Bishop explores how retailers can navigate tariffs and highlights key strategic priorities they should focus on.

Read here:"
3w,"What if nickel could be extracted more quickly and cheaply than through traditional mining?

These specially enhanced crops can extract metals like nickel directly from the soil. The result is faster production, lower emissions, and reduced costs.

, a biotechnology company, is using synthetic biology to improve the ability of plants to extract battery-grade nickel with minimal environmental impact.

With support from BCG and, Genomines refined its strategy, accelerated growth, and scaled from a single plant to 95 million across hundreds of thousands of hectares annually.

Watch the full story:"
3w,"Europe’s heatwaves are making headlines. And drought is already affecting some regions. 

We need to prepare for a new normal when it comes to water use in Europe, says.

Read more."
3w,"Weak fundamentals are driving financial stress across Europe, with more than $300 billion in GDP at risk.

BCG’s Transform and Special Situations Index examined the operational performance and financial stability of more than 1,700 European public companies.

While tariffs and other external risks are aggravating existing vulnerabilities, CEOs should focus on strengthening their balance sheets to enter 2026 from a place of strength.

Learn more:"
3w,"Because of geopolitical pressures, Europe could be entering a period of renewed strength, from investments to innovation.

For Europe’s CEOs, this is a defining moment. Will they seize it—or squander it?

Learn more:"
3w,"Traditional retailers are transforming themselves by integrating online marketplaces, retail media, data monetization, and B2B digital services.

But the gap between leaders and laggards is already substantial. Reviewing the total shareholder return (TSR) of retailers between 2019 and 2024, BCG found that:

• The top quartile of global retailers by revenue materially outperformed the five-year TSR of total retail—16% for top quartile versus 9% for the overall retail industry.
• Approximately a third of this outperformance came from new revenue streams.

Learn more about transforming traditional retail here:"
3w,"The changing tariff landscape is accelerating innovation in the logistics, parcel, and shipping (LPS) sector.

As trade flows evolve and costs adjust, LPS providers have a chance to grow as strategic partners to their customers.

By focusing on smart adaptation and collaboration, providers can differentiate through:
• AI-enabled operations
• Flexible capacity
• Value-added services like warehousing and customs support

Explore the full report:"
3w,"Innovation is a competitive game. Over the past two decades, one megatrend has shifted the balance of power: the rise of China as an innovation powerhouse.

Europe, however, has struggled to keep pace. Only 9% of the region’s top innovators focus on technology hardware or software, compared to 19% in North America, 31% in China, and 19% in Asia-Pacific.

Read the 2025 Most Innovative Companies report to learn more:"
3w,"When wallets tighten, the hunt for deals intensifies. 
 
BCG’s survey of 16,000 consumers across nine countries reveals rising caution around spending, and a shift towards essentials. They want value-for-money, the ability to save, and low prices.

Read the full European Consumer Sentiment 2025 report:"
1mo,"When BCG published its first Most Innovative Companies report in 2005, the word ""digital"" didn't appear at all.

Since then, the rise of mobile, social platforms, the cloud, machine learning, and AI have reshaped how companies innovate and compete.

Over the past 20 years, venture capital has consistently provided early clues about where disruption is heading. Initially, the Internet of Things attracted the most VC interest. Today, GenAI and broader AI applications dominate the landscape.

Explore the findings of this year’s report:"
1mo,"With AI adoption on the rise, how can it help transform costs?

BCG research shows that 26% of companies have scaled AI in at least one function and are seeing faster growth, higher returns, more innovation, and stronger employee engagement.

More than half are established players in traditional industries. By rethinking talent, streamlining operations, and focusing on results, they are turning AI into lasting cost advantage.

Discover how AI is delivering real, sustainable savings:"
1mo,"This weekend, the expanded group of 10 BRICS nations will hold their annual summit in Brazil. 

Member countries (Brazil, Russia, India, China, South Africa, Egypt, Ethiopia, Iran, UAE, and Indonesia) make up almost half the world’s population, 27% of global GDP, and about a quarter of global trade.

Can they advance an international trade agenda that offers a credible alternative to the rising tide of protectionism?"
1mo,"⚡🍃 As Indonesia accelerates its decarbonization journey, upgrading the national grid is more than a technical requirement, it’s a strategic opportunity to unlock greater renewable potential, enhance reliability, and build a future-ready energy system that drives inclusive growth.

In their recent op-ed for The Jakarta Post, BCG’sandexplain why investing in grid infrastructure is essential to energizing a more sustainable future for Indonesia.

🖇️ Read the full article here:"
1mo,"AI is now a daily reality, but frontline employees are hitting an adoption ceiling. As AI goes mainstream, confidence is up, concerns are down, but frontline engagement is critical to unlocking value.

In our latest report we breakdown how companies can help break the “silicon ceiling”:"
1mo,"Space is no longer just about exploration. It’s a strategic domain unlocking economic growth, accelerating innovation, enabling climate action, and reshaping geopolitical influence.

As launch costs fall and private investment accelerates, governments are recognizing the value of space technologies as tools for national resilience, economic development, and global positioning.

In our latest report with, coauthored by,,,,, and, we explore why governments are making space a national priority and what it takes to lead in this fast-moving sector.

Read the full report:"
1mo,"What happens when a leading beauty company uses AI agents to transform the customer experience?

Together with BCG, this leading global beauty company launched an AI-powered beauty companion that delivers personalized, real-time product recommendations. Using multiple LLMs and skin diagnostics, it mimics in-store consultations while easing choice overload. The agent remembers preferences, enhances engagement, and unlocks new data and cross-sell opportunities for the brand.

In this new series, BCG explores how AI agents are quickly becoming a game-changing force in business. More than just a new technology, they represent a shift from AI as a tool to AI as a true teammate.

learn more about the impact that AI agents can have on your business:"
1mo,"How can companies turn a great product into a beloved brand? 

Carmen True of Qualcomm and BCG’s Lauren Taylor highlight the importance of meeting customers where they are."
1mo,"Transforming finance functions can be a quick and sizable way to reduce costs. And systematic programs can cut costs by 15% to 35%.

For CFOs, finance is the right place to start. It delivers impact, improves execution, and simplifies operations. This momentum can carry across the business.

With benchmarking, digital tools, and accountability, CFOs can replace legacy systems and unlock lasting savings.

Explore how CFOs can lead effective cost optimization:"
1mo,"What will drive the next $10 trillion in leisure travel spend?

BCG surveyed nearly 5,000 travelers across 11 countries and analyzed travel patterns in 68 markets to find out.

The real engine is close to home: domestic leisure travel is projected to generate nearly $12 trillion by 2040, while regional travel is set to triple to more than $2 trillion. International travel will grow the fastest but still hold the smallest share.

Learn more:"
1mo,"For Sara, leading with pride starts with being true to herself—and extends to helping others feel free to do the same. 

As Diversity & Inclusion Senior Manager for the Eastern Mediterranean and Caspian region, she sees leadership not as hierarchy, but as collaboration: creating space for people to express their potential, speak up, and challenge ideas when it matters most. At BCG, this kind of leadership is not only possible, it’s essential.

Read more about how Sara and other BCGers are leading with pride and authenticity:"
1mo,"How can media, data, and partnerships transform travel and earn customer loyalty?

Richard Nunn, CEO of United Airlines Mileage Plus and BCG’s Mark Abrahamdiscuss how businesses can captive audiences to create real opportunities."
1mo,"It's not just geopolitics, disruptive tech, or uncertainty from demographic and societal trends—there are more personal reasons that becoming a CEO is not the ultimate goal for a growing number of ""first team"" executives. 

is BCG's CEO Advisory lead for North America, and on The So What from BCG
recently, she explained the stresses of personal scrutiny, requests of facetime from senior staff and boards, and a growing expectation that CEOs will lead with empathy and vulnerability. Still, certain leadership styles lend themselves to being a good CEO, and Christine has the inside story."
1mo,"‘Rooted’ - that’s what Piyush Gupta would title his book on leadership.

In this candid conversation with Regional Chair Neeraj Aggarwal, the former DBS BankCEO shares why staying grounded in purpose and relevance is more than a nice-to-have—it’s the foundation of authentic leadership in volatile times.

Watch the conversation:"
1mo,"AI is poised to revolutionize healthcare with the potential to ease pressure on overstretched systems and personalize treatment at scale.

Progress, however, is being slowed by fragmented regulations, limited technical literacy, and outdated evaluation methods.

A new report developed between BCG and the World Economic Forum outlines a collaborative path forward that includes building technical capacity, modernizing regulatory models, and embedding evaluation across the AI life cycle.

Realizing the full promise of AI in health will require trust, coordination, and a pragmatic approach.

Read more:"
1mo,"BCG’s Center for Geopolitics helps businesses navigate high-stakes decisions, develop new strategic frameworks, turn geopolitical complexity into clarity and action.

Here are five key pieces we’ve developed over the past year to help businesses:
1. Great Powers, Geopolitics, and the Future of Trade:
2. Economic Statecraft Is Back. Here’s Why It Matters
3. The CEO’s Guide to Tariff Command Centers:
4. In a Multipolar World, the Global South Finds Its Moment:
5. Ten Forces Reshaping Global Business:"
1mo,"Are CMOs thinking about AI in the right way? That’s the critical question BCG senior partners are asking as they reflect on this year’s most unexpected moments.

Explore their insights and perspectives from the heart of the global marketing conversation."
1mo,"A new BCG Henderson Institute survey finds that most manufacturing leaders view exports as unprofitable when tariffs exceed 25%.

But cost is no longer the only concern. Nearly a third of leaders now prioritize labor quality and political stability over price, particularly in sectors such as medical and industrial equipment, where reliability is critical.

Read the full insights from the survey:"
1mo,"From calls to slash red tape to US policy shifts, momentum is moving in Europe’s favor, but CEOs must do their part now to jumpstart growth and innovation.

""Innovators succeed,” says, a BCG managing director and senior partner who leads the firm’s growth and innovation work globally. “And [they succeed] with an order of magnitude more when a CEO is behind an innovation pursuit.”

Read about the five actions CEOs can take now to turn Europe’s promise into a lasting competitive advantage."
1mo,"Which countries are the biggest magnet for AI and STEM talent?

See how the US compares to other countries: https://on.bcg.com/4nhIjL2"
1mo,"AI is at the core of The HEINEKEN Company's business, ""from the barley to the bottle,"" according to Chief AI Officer Surajeet Ghosh.

Surajeet and BCG’sexplain why prioritizing high-impact use cases and transforming core processes are key to scaling AI effectively.

Watch the full interview from
:"
1mo,"Which countries are attracting the world’s top professionals?

BCG’s Top Talent Tracker ranks the ten leading global talent hubs, based on the cross-border movements of more than 205 million highly skilled people.

Global talent is still moving, but at a slower pace. In the past 12 months, 2.6 million professionals moved across borders, representing about 1.3% of the total tracked. That’s a 0.4% decline from 2023 to 2024. STEM and AI talent, however, are moving at higher rates.

Learn more:"
1mo,"Building strategic and annual plans is one of the toughest challenges for CEOs right now. But those who don’t proceed may well sacrifice competitive advantage and resilience down the road.

Here are five ways to keep moving forward in uncertain times:"
1mo,"Is the decline in ultraprocessed food sales a passing phase or the beginning of a $2 trillion realignment in global consumer demand?

Three forces are reshaping demand: growing awareness of nutrition, stricter regulation, and the rising use of GLP-1s, medications that help manage weight and influence food choices.

CPG companies must act. Adapting products and portfolios is no longer optional. Those that innovate now will shape the future of the industry.

Read more:"
1mo,"How soon could a robotaxi service be coming to your city?

This new report from BCG and [@] WEF provides a refined forecast for the adoption of self-driving vehicles, including autonomous trucks, robotaxis, and personal vehicles.

The forecast incorporates key factors such as consumer trust, pricing, policy frameworks, and technological maturity to identify inflection points for adoption.

Explore the report to learn more about promoting the safe, ethical, and user-centered rollout of autonomous mobility:"
1mo,"Join us live from Cannes Lions International Festival of Creativity for a candid conversation on what it takes to lead in a tech-driven era. AI may no longer be new, but it continues to reshape how CMOs operate—amplifying capabilities, surfacing new challenges, and demanding faster, smarter decisions.

In this LinkedIn Live session, we’ll hear from(GVP of Ads Marketing & Centers of Excellence, Google),(CMO of AI, Salesforce), and(CMO, BCG) as they discuss:
- How AI and emerging technologies are enhancing (and complicating) the CMO role.
- What it takes to stay ahead amid continuous disruption
- Where the most exciting opportunities lie for creating long-term brand and business value

Whether you're experimenting with new tools or scaling AI across your organization, this is a conversation you won’t want to miss."
1mo,"How is AI already transforming the customer experience at Microsoft?

Speaking live from the BCG studio in Cannes, Microsoft’s Stephanie Fergusonshared how AI-powered conversations are personalizing customer experiences and building deeper trust."
1mo,"Commerce media is transforming traditional advertising by delivering targeted, contextual, and highly relevant messages to customers.

BCG expects commerce media to quickly become an integral element of strategies for business growth.

Find out more about how to make a commerce media business successful."
1mo,"From the BCG studio in Cannes, Salesforce’s Joseph Inzerillo and BCG’s Jean-Manuel Izaret (JMI) unpack how AI is transforming customer experience, pricing, and business models.

Stay tuned as we continue to share insights from business leaders who are shaping the future, live from the."
1mo,"When it comes to building their personal brand online, leaders should share both their insights and what they’re still figuring out, with honesty and humor. That’s according to LinkedIn’s Jessica Jensen. Listen to her conversation with BCG’sat the."
1mo,"Day 2 of the 2025 Cannes Lions International Festival of Creativity, and we’re live from the BCG Studio sharing fresh insights. As 7-Eleven’s Marissa Jarratt puts it, AI helps transform rich data into faster insights, freeing up more time for marketers to focus on human-centered solutions."
1mo,"The Cannes Lions International Festival of Creativity is in full swing, and BCG’s Joanna Stringer shares key highlights to watch this week. As an official partner of Cannes Lions, BCG is at the forefront, leading conversations and offering bold perspectives on the trends that are redefining the future of marketing."
1mo,"Day 1 at the Cannes Lions International Festival of Creativity 2025.

We look forward to hosting an intimate, confidential space for CMOs, a place to breathe, create, and gather. Our BCG delegation will bring to the festival deep expertise, knowledge, and experience across sectors.

See you there."
1mo,"As marketers gather in Cannes, new research from BCG confirms that AI and GenAI remain at the top of the CMO agenda.

Strong momentum, driven by successful pilots and a steady stream of new tools, is accelerating investment and raising expectations for revenue growth.

As the technology becomes more embedded in the marketing function, CMOs are prioritizing pilot areas such as immersive content creation, personalization, and agentic AI.

Explore all the insights from BCG’s survey of 200 CMOs:"
1mo,"When Theo Breward stepped into his role as the Middle East node for BCG’s GenAI Enablement Network, he wasn’t just adopting new tools — he was driving change.

His mission? Help 1,500+ BCGers across the region integrate GenAI into their work in meaningful, secure, and scalable ways. From training to capability building, Theo’s work is reshaping how teams work, collaborate, and grow.

Learn how Theo and the Enablement Network are powering a GenAI-first ways of working at BCG:"
1mo,"Even well-executed corporate transformations can fall short when value fails to reach the bottom line.

Investors expect clear profit and loss impact. But inflation, shifting demand, and reinvestment can cut gains by 10–20%, putting valuation and leadership credibility at risk.

Strong financial oversight through early risk management, execution discipline, and buffered targets helps business leaders protect value and ensure consistent results.

Read more here:"
1mo,"Deeptha Khanna of Philips and BCG’s Diederik Vismans agree: identifying consumers’ unmet needs and enhancing their experience are key to product development. 

Watch their full interview from
now:"
1mo,"The CEO Radar is a tool for CEOs to compare their own agendas to those of their peers, as well as the market as a whole.

Featuring,, and others, each episode analyses Bloomberg’s quarterly earnings call data to understand what’s important for CEOs at the world’s largest companies.

Available to watch and listen to on Bloomberg:"
1mo,"How does a consumer goods giant like Reckitt supercharge productivity with GenAI?

""We're going to go fast and we're going to stay humble,"" says CEO. Despite market uncertainties, consumers remain engaged, and AI is helping companies deliver more productivity, consistency, and value.

Reckitt has achieved impressive results:

• Up to 40% of employee time freed for higher-value work
• 60% efficiency gains across media, insights, innovation, and more
• Hundreds of team members using custom GenAI tools daily


Watch the full interview from the studio at
:"
1mo,"Scaling GenAI in turbulent times is the challenge and the opportunity facing CMOs in 2025.

Marketing leaders are pairing high expectations with high levels of investment. Personalization, predictive analytics, and measurement are rising to the top of the agenda. Agentic AI is gaining ground as a strategic focus.

BCG’sshares how forward-thinking CMOs are meeting the moment."
1mo,"At BCG, Daniel leads with the mindset that inclusion starts with intention. 

As a Senior Administrative Assistant in our Atlanta office, Daniel creates space for connection by showing up as his full self—and encouraging others to do the same. He knows that when people feel safe and supported, they’re empowered to bring their best forward.

For Daniel, inclusion means using his presence to help others feel safe, seen, and empowered."
1mo,"✅ Changing customer journeys. 
✅ Reformulation. 
✅ AI-powered transformations. 
✅ Influencer marketing.
✅ Gen Z.

These are the factors that are redefining the retail and consumer goods industry.

After two days of conversations and insights at
,asked,,,, andabout the trends that are redefining retail and consumer goods."
1mo,"The modern CMO has a lot to prioritize in 2025, but the tools to help and power growth are becoming clearer.

According to, ""AI has become a source of optimism for CMOs. It’s the one thing that can simultaneously address all their needs.""

In this special edition of Up Next, Jessica shares her take on what's inspiring her and other CMOs ahead of thenext week."
1mo,"How does Dirk Van de Put of Mondelēz International stay focused and resilient in the face of shifting consumer expectations, AI transformations, and geopolitics?

Create an organization that's ready for anything, which is no simple feat for a CEO.

He joined BCG'sin the studio at
to discuss how resilience has become a priority for CEOs across the consumer goods industry."
1mo,"$50 billion. 
 
That’s the total estimated cost of the new 50% tariffs on steel and aluminum imports into the US which came into effect this month.

Learn more about how the tariffs are changing the dynamics of the global metal industry:"
1mo,"Cost programs are easy to launch but hard to sustain.

A recent BCG survey found that nearly half of Chief Operating Officers (COOs) saw costs creep back up after previous reduction programs.

To sustain performance, COOs are focusing on deeper strategies. By collaborating across functions, adopting GenAI, and partnering with external providers, companies can achieve lasting efficiency and agility.

Discover how operations leaders are driving smarter, more sustainable cost impact:"
1mo,"CMO confidence in GenAI is higher than ever.

In BCG’s new survey of 200 marketing leaders, 71% plan to invest more than $10 million annually over the next three years, up from 57% last year.

Many are beginning to scale use cases with the greatest growth potential. More than a third already report improvements in customer experience, and content quality and volume. Fewer cite efficiency gains, reflecting the challenge of scaling GenAI across workflows.

Learn how CMOs can move from pilots to performance gains:"
1mo,"M&A sentiment bounced back in May, with the strongest monthly increase so far this year hinting at renewed confidence at a global level.

Europe and the Americas led the turnaround. But in APAC sentiment declined further, to the lowest level on record.

Explore the M&A Sentiment Index for further analysis by region and industry:"
1mo,"Concern about Europe’s economic future is deepening. So too is the resolve to act.

A new BCG study of 850 C-level executives in 20 countries reveals a decisive shift in sentiment across the region. With Europe’s competitiveness under pressure, business leaders are paying close attention.

BCG’sunpacks the consequences leaders foresee if current trends persist."
2mo,"Does your company have the team-level “AI influencers” who can accelerate adoption? 

That was one of the questions posed at this week’sAI + Summit NY, where BCG hosted a panel discussion about how AI is shaping business.

While interest in AI is high, many companies remain in the early stages of maturity. Common hurdles include unclear strategies, fear, and overreliance on generic tools. Real momentum often comes from influencers who drive adoption through practical, low-risk use cases. Executive engagement and a culture of experimentation are key to scaling success.

The roundtable, moderated byand, highlighted a gap between AI’s potential and organizational readiness, in a number of sectors. Leaders emphasized the importance of pragmatic, gradual adoption, listening to sceptics, and focusing on real-world integration. Companies that approach AI with transparency and discipline will build both trust and a competitive edge.

Unlock your AI advantage by exploring how top execs are turning ambition into action:"
2mo,"When Michaela Ginter co-led a bi+ breakout group at BCG’s 2024 Pride Conference, she saw just how powerful it can be to create space for others to be fully themselves. That experience became the foundation for Bi and Beyond, a growing community within BCG focused on bi+ inclusion and belonging.

Now a Concierge Specialist in BCG’s Los Angeles office, Michaela continues to lead by example, showing that inclusion is something we practice every day.

This Pride Month, we’re celebrating leadership, and celebrating the people who lead by lifting others up."
2mo,"Consulting = solving complex problems with the right people by your side.

For Chad Castle, the best part of consulting is tackling tough challenges with a network of experts who bring different experiences and perspectives to the table.

Want to work on challenges that push you forward? Explore career opportunities at BCG:"
2mo,"BCG is working with COWI’s leadership to accelerate performance while preserving its purpose-driven culture.

COWI, a global consultancy in engineering, architecture, energy, and the environment, co-creates sustainable solutions that improve lives.

In a recent conversation, BCG’sand COWI CEOdiscussed how the company is operationalizing its purpose, fostering collaboration, and planning for growth while upholding its values.

Watch the video to learn three strategies for sustainable, purpose-led transformation:"
2mo,"Today we announce the open-source release of GAIA Foundation Model (Geospatial Artificial Intelligence for Atmospheres), built by BCG X AI Science Institute and USRA’s Research Institute for Advanced Computer Science’s (RIACS) team of data scientists, engineers and AI experts in collaboration with.

GAIA is trained and tested on 25 years of satellite data from a global constellation that includes the Geostationary Operational Environmental Satellites (GOES), Europe’s Meteosat (EUMETSAT), and Japan’s Himawari satellite.

Reliable, continuous satellite observation of Earth is essential to many real-world systems—extreme rainfall, severe flooding, and hurricane predictions are just a few examples. GAIA Foundation Model demonstrates promising capabilities in seamlessly patching large gaps in satellite records, while also translating imagery into precipitation estimates.

For scientists and meteorologists monitoring our weather systems, models like GAIA represent an exciting new avenue for delivering more timely and informed decisions, with significant impact across sectors such as insurance, power utilities, aviation, and agriculture.

Learn more about GAIA Foundation Model:"
2mo,"Rapid AI advances, evolving consumer behaviors, and mounting costs are transforming the consumer products and retail industries, and the role of merchandising must change significantly.

Our recent survey revealed a vision for the nature of the transformation needed; the gap between the current and envisioned state requires a focus on both people and technology.

Next month, BCG will bring a delegation of experts to the
in Amsterdam to discuss the game-changing trends and innovations shaping the industry. Learn more about our programming and meet our delegation here:"
